id,hashtag,collected_at,is_relevant
326,#interiordesign,2025-09-24 13:55:30.899243,True
327,#joerogan,2025-09-24 13:55:30.899246,True
328,#entrepreneur,2025-09-24 13:55:30.899249,True
329,#painting,2025-09-24 13:55:30.899252,True
330,#buckaroo,2025-09-24 13:55:30.899254,True
331,#design,2025-09-24 13:55:30.899257,True
332,#concrete,2025-09-24 13:55:30.899260,True
333,#HomeImprovement,2025-09-24 13:55:30.899263,True
334,#roofing,2025-09-24 13:55:30.899266,True
335,#tools,2025-09-24 13:55:30.899269,True
336,#homedecor,2025-09-24 13:55:30.899272,True
337,#core,2025-09-24 13:55:30.899274,True
338,#carpenter,2025-09-24 13:55:30.899277,True
339,#carpenters,2025-09-24 13:55:30.899280,True
340,#framerlife,2025-09-24 13:55:30.899283,True
341,#popular,2025-09-24 13:55:30.899286,True
342,#newbuild,2025-09-24 13:55:30.899289,True
343,#house,2025-09-24 13:55:30.899292,True
344,#deck,2025-09-24 13:55:30.899294,True
345,#viral,2025-09-24 13:55:30.899297,True
346,#union,2025-09-24 13:55:30.899300,True
347,#joint,2025-09-24 13:55:30.899303,True
348,#satisfying,2025-09-24 13:55:30.899306,True
349,#housebuilding,2025-09-24 13:55:30.899309,True
350,#tutorial,2025-09-24 13:55:30.899311,True
351,#tricks,2025-09-24 13:55:30.899314,True
352,#flooring,2025-09-24 13:55:30.899317,True
353,#fun,2025-09-24 13:55:30.899320,True
354,#trimmer,2025-09-24 13:55:30.899323,True
355,#wall,2025-09-24 13:55:30.899326,True
356,#funny,2025-09-24 13:55:30.899329,True
357,#architecture,2025-09-24 13:55:30.899331,True
358,#joiner,2025-09-24 13:55:30.899334,True
359,#goldinfinity,2025-09-24 13:55:30.899337,True
360,#gomarlo,2025-09-24 13:55:30.899340,True
361,#cabinetmaking,2025-09-24 13:55:30.899343,True
362,#frames,2025-09-24 13:55:30.899345,True
363,#wtf,2025-09-24 13:55:30.899348,True
364,#woodwork,2025-09-24 13:55:30.899351,True
365,#craftsman,2025-09-24 13:55:30.899354,True
366,#designer,2025-09-24 13:55:30.899357,True
367,#van,2025-09-24 13:55:30.899360,True
368,#woodworker,2025-09-24 13:55:30.899362,True
369,#fy,2025-09-24 13:55:30.899365,True
370,#girlhood,2025-09-24 13:55:30.899368,True
371,#foryou,2025-09-24 13:55:30.899387,True
372,#work,2025-09-24 13:55:30.899391,True
373,#art,2025-09-24 13:55:30.899394,True
374,#engineering,2025-09-24 13:55:30.899396,True
375,#frame,2025-09-24 13:55:30.899399,True
376,#working,2025-09-24 13:55:30.899402,True
377,#skilledtrades,2025-09-24 13:55:30.899405,True
378,#backyard,2025-09-24 13:55:30.899408,True
379,#constructionlife,2025-09-24 13:55:30.899411,True
380,#making,2025-09-24 13:55:30.899413,True
381,#apprentice,2025-09-24 13:55:30.899416,True
382,#tile,2025-09-24 13:55:30.899419,True
383,#hgtv,2025-09-24 13:55:30.899422,True
384,#framing,2025-09-24 13:55:30.899425,True
385,#renovation,2025-09-24 13:55:30.899427,True
386,#apprentices,2025-09-24 13:55:30.899430,True
387,#motivational,2025-09-24 13:55:30.899433,True
388,#crafters,2025-09-24 13:55:30.899436,True
389,#innovator,2025-09-24 13:55:30.899439,True
390,#woodart,2025-09-24 13:55:30.899442,True
391,#joinery,2025-09-24 13:55:30.899444,True
392,#woodcarving,2025-09-24 13:55:30.899447,True
393,#process,2025-09-24 13:55:30.899450,True
394,#cooltricks,2025-09-24 13:55:30.899453,True
395,#trailblazer,2025-09-24 13:55:30.899456,True
396,#builder,2025-09-24 13:55:30.899458,True
397,#construction,2025-09-24 13:55:30.899461,True
398,#buildingamerica,2025-09-24 13:55:30.899464,True
399,#trendingnow,2025-09-24 13:56:05.373514,True
400,#CreativeLifestyle,2025-09-24 13:56:05.373722,True
401,#homemade,2025-09-24 13:56:05.373733,True
402,#visualartist,2025-09-24 13:56:05.373737,True
403,#reveal,2025-09-24 13:56:05.373740,True
404,#amazing,2025-09-24 13:56:05.373743,True
405,#invent,2025-09-24 13:56:05.373746,True
406,#consistency,2025-09-24 13:56:05.373749,True
407,#artist,2025-09-24 13:56:05.373752,True
408,#trending,2025-09-24 13:56:05.373755,True
409,#OOTD,2025-09-24 13:56:05.373758,True
410,#writer,2025-09-24 13:56:05.373761,True
411,#sweater,2025-09-24 13:56:05.373764,True
412,#fashion,2025-09-24 13:56:05.373767,True
413,#trends,2025-09-24 13:56:05.373769,True
414,#craft,2025-09-24 13:56:05.373772,True
415,#creative,2025-09-24 13:56:05.373775,True
416,#color,2025-09-24 13:56:05.373778,True
417,#handwork,2025-09-24 13:56:05.373781,True
418,#handmade,2025-09-24 13:56:05.373784,True
419,#tips,2025-09-24 13:56:05.373787,True
420,#cinematography,2025-09-24 13:56:05.373789,True
421,#drawing,2025-09-24 13:56:05.373792,True
422,#Art,2025-09-24 13:56:05.373795,True
423,#creativelife,2025-09-24 13:56:05.373798,True
424,#creativity,2025-09-24 13:56:05.373801,True
425,#artistic,2025-09-24 13:56:05.373804,True
426,#creativeinspo,2025-09-24 13:56:05.373807,True
427,#Creativity,2025-09-24 13:56:05.373809,True
428,#artstyle,2025-09-24 13:56:05.373812,True
429,#photography,2025-09-24 13:56:05.373815,True
430,#artstudio,2025-09-24 13:56:05.373818,True
431,#painting,2025-09-24 13:56:05.373821,True
432,#magic,2025-09-24 13:56:05.373823,True
433,#design,2025-09-24 13:56:05.373826,True
434,#artok,2025-09-24 13:56:05.373829,True
435,#consistent,2025-09-24 13:56:05.373832,True
436,#painter,2025-09-24 13:56:05.373835,True
437,#invention,2025-09-24 13:56:05.373838,True
438,#creativevisualart,2025-09-24 13:56:05.373841,True
